"","forest_cover","p_value","Land_use","Mean_connectance","sd_con","Mean_size","sd_size","Mean_NODF","sd_NODF","Mean_mod","sd_mod","zc_con","zc_size","zc_NODF","zc_mod"
"1",0.1,0.01,"Core",0.103617128441225,0.00945905302105602,56.8333333333333,4.9564772436345,0.151700871017755,0.0215553780043126,0.640053476898713,0.0242588289313795,10.9542813863683,11.4664772054231,7.03772724316891,26.3843518048303
"2",0.1,0.01,"Disturbed",0.130069227360668,0.0261207250023804,31.6371289322109,5.89633438071506,0.147126064014967,0.0480698084503208,0.608452564804064,0.0447505107064054,4.97954123971729,5.36555881832031,3.06067506316399,13.5965501890233
"3",0.1,0.01,"Edge",0.124829680246057,0.0252094663896323,36.4345991561181,9.45870513921844,0.158390728659876,0.0429989722416499,0.610952535054046,0.0443489576424703,4.95169863243891,3.85196479009057,3.68359336055141,13.7760291905705
"4",0.1,0.25,"Core",0.0889139843155349,0.010436417827965,64.8125,5.30618366685351,0.140387493160528,0.0193826375024366,0.653904484437015,0.0289818210108865,8.51958840487244,12.2145225399695,7.24295097315214,22.5625741112468
"5",0.1,0.25,"Disturbed",0.127838018285558,0.0274586696833576,32.6375779162956,6.48867399138931,0.148278885311579,0.0486652495035994,0.611932618176677,0.0455661276265482,4.65565228613532,5.02993030002845,3.04691513603793,13.429550634453
"6",0.1,0.25,"Edge",0.103803718806364,0.0241762152297663,51.4271844660194,11.3872859712135,0.15007765594617,0.0324562301074791,0.637489213331387,0.0403242541059744,4.29362982666363,4.51619328749841,4.62400147673302,15.8090763850468
"7",0.1,0.5,"Core",0.0765836403736082,0.00965146061798093,73.65625,8.07964059257979,0.130254016404631,0.0212104403667893,0.670936374823339,0.026428878676145,7.93492751044653,9.11627802697618,6.14103310219713,25.3864866173431
"8",0.1,0.5,"Disturbed",0.128527955910161,0.0265690385904967,32.099910793934,6.22533938875645,0.14807163635789,0.0477954207238731,0.610674508410169,0.0451230890730201,4.83750872175455,5.15633105110855,3.09802977179214,13.5335262047762
"9",0.1,0.5,"Edge",0.0934097263295106,0.0197096581017661,57.462962962963,11.7442407658529,0.146198021483961,0.0309059203960993,0.648291576955868,0.0389896836782958,4.73928699560449,4.89286315808851,4.73042121413129,16.6272592079722
"10",0.3,0.01,"Core",0.0994283147966626,0.00786010199203867,61,5.45690184791497,0.157110787054518,0.0180291486656347,0.63196269333811,0.0233753721494678,12.6497486797718,11.1785041586019,8.71426543583759,27.035406721963
"11",0.3,0.01,"Disturbed",0.121321177996951,0.0242075602577385,35.3787185354691,6.54128224431872,0.150773458304661,0.0441607332874344,0.619666968656212,0.0431373259634814,5.0117061242538,5.40852958396597,3.41419734412705,14.3649833367233
"12",0.3,0.01,"Edge",0.113761292646988,0.0228692365449917,43.5414364640884,10.2541532189647,0.15579374582993,0.034656713941768,0.626083506372784,0.039461131551162,4.97442459100811,4.24622448429578,4.49534096313062,15.8658275057586
"13",0.3,0.25,"Core",0.0796491257580428,0.0109020776461088,71.7272727272727,8.68781600018939,0.134032696975176,0.0194761086726463,0.666800995617706,0.0283051143694305,7.3058666745482,8.25607640927352,6.88190332206463,23.5576153098979
"14",0.3,0.25,"Disturbed",0.122220418749679,0.0248044636259713,34.9379271070615,6.90910601308857,0.149978845432448,0.0450077647995241,0.617289162903096,0.0425827965535228,4.92735584178118,5.05679418449728,3.33228824182875,14.4962100393575
"15",0.3,0.25,"Edge",0.0956932177580745,0.0180094827560779,55.6934579439252,11.1863452663162,0.145172350128689,0.0292978817943297,0.6467493122812,0.0362586951164565,5.3134906234761,4.97870006852253,4.95504593635114,17.8370818421335
"16",0.3,0.5,"Core",0.0735806665660955,0.00941357902924792,76.4664879356568,9.14618892063965,0.130241082490126,0.0190187996387799,0.677521985613792,0.0253444271229136,7.81643903317547,8.36047545039219,6.84801801184974,26.7325823672397
"17",0.3,0.5,"Disturbed",0.124448893262116,0.02577777222157,33.9591954022989,6.88833563641369,0.149938182518006,0.0474697102296775,0.615528834470438,0.0443887926667098,4.82775983092832,4.92995655188184,3.1586074950225,13.8667622499241
"18",0.3,0.5,"Edge",0.0872036366928949,0.0173032806902079,62.4780361757106,11.8656734094542,0.141758317623707,0.0281287415847194,0.656647807480273,0.0359340207705131,5.0397169331157,5.26544377379628,5.03962529559855,18.2737081295146
"19",0.5,0.01,"Core",0.090007497709237,0.0110523455866833,64.6283185840708,6.20655570785769,0.142874777751922,0.0194987275481525,0.65161769239981,0.029760394436086,8.14374623045487,10.4129120282042,7.32738982064807,21.8954655926768
"20",0.5,0.01,"Disturbed",0.115605345884712,0.0212909828717372,38.4980047885076,6.90899567633155,0.152649641921807,0.0414140226305814,0.626169517496888,0.0400213622255683,5.42977966687357,5.57215644531257,3.685940950085,15.6458821658212
"21",0.5,0.01,"Edge",0.101335222797113,0.0160261400004761,51.6216931216931,9.29238251315037,0.148314662233071,0.029547618882616,0.639733148612942,0.0354615205718894,6.32312102565576,5.55526992659194,5.0195131737106,18.0402063503183
"22",0.5,0.25,"Core",0.0738609052901013,0.00962857276655757,76.426614481409,8.97589342792768,0.130701724822166,0.0200857612831513,0.676622697687229,0.0251200411347649,7.67101283656894,8.51465261871476,6.50718302282142,26.935572838327
"23",0.5,0.25,"Disturbed",0.11848382797852,0.023358148926969,36.908,7.42932647778591,0.153695865978071,0.0444382345339732,0.621769855957088,0.0432690292141732,5.07248362654801,4.96787967393234,3.45864023604651,14.3698591636861
